Initiated,Company Name,Company Domain,Company Website,Point of Contact,Reply,Response,Planning to Offer,Availability for Metting,Meeting Dates,Proposed,Meeting 1,Meeting 2,Quotation,"Follow-Ups( Mail, Call )",Status
advait.t,SoulAce,Corporate Social Responsibility (CSR) Consulting,

"Soulace.in","Hitesh, 7020355927 , hitesh@soulace.in", interested in change detection,"expecting rply from him didnt replied",,Had 2 meetings,,NA,NA,"Had two meetings, explained our product, interested in change detection", 
,expecting reply from him, didnt replied","drop follow up mail, call",NA
Vamsi.v,Indrones,Drone,indrones.com,"Akash Sinha, aakash.sinha@indrones.com",Expecting a Colab,NA,NA,NA,,,NA,NA,,NA,NA
advait.t,Hines,"Real Estate, investment mangement",hines.com,"Bajwa and Gurmukh,  Gurmukh.Bajwa@hines.com",,They Refered someone else for mailing,"On board computing, network cameras for security, AI based dashboard for all asset management",NA,,NA,NA,NA,,Discuss on Call,NA
Vamsi.v,Ashoka construction,Construction,ashokaconstruction.com,"Kirtishekhar Pathak, kirtishekhar@ashokaconstruction.com",,NA,"On board computing, network cameras for security, AI based dashboard for all asset management","They just noted, no meet no reference",,NA,NA,NA,,Discuss on Call,NA
Vamsi.v,Jacobs,Engineering Solutions,https://jacobs.com,"Bhuvanendran, 
yadukul.bhuvanendran@jacobs.com
",Requested  portfolio and details of specific sevices for them ,"Great for Benchmarking; 

https://www.floodplatform.com/post/flood-platform-has-arrived  , Specific Services for them required DOC",NA,NA,,NA,NA,NA,,Compitator,Dropped
Vamsi.v,Coact solution,road and infrastructure evaluation engineering,https://www.coactsolutions.in/,"Gitesh Shiv, gitesh.shiv@gmail.com",NA,NA,NA,No One Joined: reported ,,NA,NA,NA,,Discuss ,NA
Vamsi.v,space Tug,space sustainability,https://spacetug.tech/,"Hari ,hari@spacetug.tech
+91 81486 24968
",Ask for reschedule meeting,NA,NA,"we missed the meet, no reply henceforth",,NA,NA,NA,,follow up mail requesting time for a meeting has been shared,NA
Vamsi.v,Johnnette Technologies Private Limited,Drone Systems Manufacturing,https://johnnette.com/,"Sanjana, ""johnnette.com
8130716776""",NA,NA,NA,"She missed the meet, we requested to reschedule, no reply",,NA,NA,NA,,"call (UAV) : had a call , she will get back",NA
Vamsi.v,Pan Network Ltd,Environmental and natural resource consulting services.,https://pannetwork.in/,"Sujit Choudhury, choudhurysuchandra@gmail.com",NA,NA,NA,No One Joined: reported ,,NA,NA,NA,,Follow up on mail,NA
Aditya. t,MN Energy and Infra Private Limited,,https://mnenergy.in/,"Manoj Yadav, 7091302560, Manoj@themiecl.com","Had a call with him, required quotation based on the solar plates monitoring",Quote needs to be provided for the requirements provided. Will follow up over call.,NA,NA,,Currently Not required,NA,NA,,Discuss on call,NA
Sanket.t,Wave Geo Services,"geoscience, seismic data acquisition, processing, and interpretation services",https://www.wavegeos.com/,"Vipul Sahu, vipul.sahu@wavegeos.com","called: not connected, requirement is not practical
Call again: for area and have a discussion: No phone number",Follow up over call for requesting the status on the data that they are providing.,"Call: Discussed Business, expecting AOI, Quantitiy of Images etc
Emailed requesting Data",NA,,NA,NA,NA,,Discuss on call,NA
Sanket.t,TerrAqua UAV Solutions Pvt. Ltd.,Drone solutions and aerial surveying services,https://www.terraquauav.com/,"
Sambit Behera, +91-9439165411, sambitbehera320@gmail.com",,Mailed for there availabilty in next week.,NA,Asked for a meet: This week slots,,NA,NA,NA,,Discuss,NA
sanket.t,SIS Security and Intelligence,Security Agency,https://sisindia.com/,"Mahesh Kotgire, 9619841265,  mahesh.kotgire@sisindia.com","Please share product details Is this your own solution?
we Requested Mahesh for the Demo meet",NA,NA,Requested for meeting.,,NA,Specific Services for them required,NA,,Mail,NA
Vamsi.v,VOGIC AI,AI-driven video intelligence platform,https://www.vogic.ai/,"Arijit Biswas, arijit.biswas@vogic.ai",Please Share product demo link.,mailed for demo of Portal,"Sent a google image superresed of urban area.
interested in remote sensing based automation, change detection and 
Will log in and check : 
Call: No phone number",NA,,NA,NA,NA,,NA,NA
advait.t,Pwc,"audit, tax, consulting, assurance, and advisory services",https://www.pwc.in/,"nidish.nair@pwc.com, rakhi.mehendiratta@pwc.com, ",,Requested a call to be set up,NA,,Meeting on 23rd Jan,NA,AI Based document asked by isro man,NA,,Mail,NA
Vamsi.v,Zuppa innovations,Drone and autonomous aerospace technology manufacturing,https://shop.zuppa.io/,joe@zuppa.io,NA,NA,Dashboard,Procided alternate email,,NA,NA,NA,,mailed no phone number,NA
